mark_id,mark_name,content
ad9f42cc,Miele,https://d28ah3i0pt2w2k.cloudfront.net/a49ae895-b532-4427-a3e1-86f3642bf482/becdd970-e5dd-4976-a8ca-7284e12f6013.png
ad9f42cc,Miele,https://d28ah3i0pt2w2k.cloudfront.net/52953f2d-595b-4a80-9c58-89e2d5335a03/7ddc47f8-39b7-4a0c-89a6-0817ef333b0a.jpeg
ef1998b7,One Step,https://d28ah3i0pt2w2k.cloudfront.net/a9d851e6-451b-4281-aed0-7f3b69e7ef3f/2ceaaf39-c08a-4bc6-98cc-433a166d448d.jpeg
d028ea59,Torque,https://d28ah3i0pt2w2k.cloudfront.net/26987a18-1cd4-468a-ae70-8836d221f00e/c0200078-a8ae-4ca1-b201-32d14df50d8d.png
10b09f05,MAIDENFORM,https://d28ah3i0pt2w2k.cloudfront.net/37a3d05a-e1c9-442c-b0cc-e88b2a0925e8/f6eb0cc2-89fa-4ab3-9d66-211ae83c38d2.jpeg
be108c0a,Wheels N Bits,https://d28ah3i0pt2w2k.cloudfront.net/90c2d7e7-37be-4be4-9072-ff2073d0c980/039a03d5-fc7e-4337-b113-a67819b686b9.jpeg
586bca9b,Motique Accessories,https://d28ah3i0pt2w2k.cloudfront.net/fee9a8f6-3a3f-4d91-895b-27f46fe8c3a5/74720601-c880-4570-a4b6-8c2cd40cb7dc.jpeg
85ddf773,ATHLETA,https://d28ah3i0pt2w2k.cloudfront.net/7fbccd92-3fdb-45e5-a749-74e3ac2a922f/f2592f1b-88b3-4bcf-b012-84dd6ef613b3.jpeg
776bc24a,ESR,https://d28ah3i0pt2w2k.cloudfront.net/a5b678e0-e4df-43ca-9efd-8a9f6f0233f9/fbf0a313-8a61-465e-96c8-076560e40da3.jpeg
f82140ea,TMEZON,https://d28ah3i0pt2w2k.cloudfront.net/81eac7bd-913a-4985-b5d0-870cb03ab972/6665c9a3-07cf-488f-8f9b-0730dced253f.png
60156d07,Solong Tattoo,https://d28ah3i0pt2w2k.cloudfront.net/6d93372b-a232-4a77-8d2b-074630795062/f2fcba0b-2964-408d-aa7f-83faa07b4551.jpeg
a03d3d6a,DAVID ARCHY,https://d28ah3i0pt2w2k.cloudfront.net/77fcd788-dce9-4a29-bd7a-1f8fddd7f945/bab890f1-c70f-4119-8287-24dd2218d2d1.png
8120b21b,Yoobao,https://d28ah3i0pt2w2k.cloudfront.net/3b8d4ff7-7d8f-4836-a787-8ea145754aa6/aeb574e7-9d9a-48b0-b399-f86b30140098.jpeg
8120b21b,Yoobao,https://d28ah3i0pt2w2k.cloudfront.net/8c43b7a4-23d6-4d08-a4d5-e65e89d99a51/0eb92bab-66e7-46df-8f25-0d003ac481a7.jpeg
658245af,HOOMIL,https://d28ah3i0pt2w2k.cloudfront.net/b1f3691a-6100-46cb-a4dd-ee273a110937/84911b0a-490a-461c-8cd5-344bda282914.jpeg
